City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,26.52,81,30,6.59,YE,1694971244
1,albany,42.6001,-73.9662,22.67,61,92,0.45,US,1694971153
2,luderitz,-26.6481,15.1594,17.18,53,0,10.26,NA,1694971244
3,ribeira grande,38.5167,-28.7,22.22,53,20,4.63,PT,1694971138
4,quellon,-43.1167,-73.6167,7.76,70,17,3.1,CL,1694971245
5,kayyerkan,69.3786,87.7439,4.61,75,100,4.07,RU,1694971245
6,port mathurin,-19.6833,63.4167,22.93,78,44,10.3,MU,1694971245
7,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,75,3.0,RU,1694971245
8,san jose del guaviare,2.5729,-72.6459,29.42,67,89,0.79,CO,1694971246
9,arauco,-37.2463,-73.3175,12.36,47,3,3.05,CL,1694971246
10,port-aux-francais,-49.35,70.2167,5.48,97,100,13.11,TF,1694971246
11,papatowai,-46.5619,169.4708,7.21,87,98,12.18,NZ,1694971199
12,bredasdorp,-34.5322,20.0403,10.6,79,18,3.16,ZA,1694971246
13,dalandzadgad,43.5708,104.425,9.96,51,27,4.01,MN,1694971247
14,multai,21.7667,78.25,20.9,93,68,1.18,IN,1694971247
15,port lincoln,-34.7333,135.8667,14.31,83,97,4.51,AU,1694971232
16,tofol,5.3248,163.0078,28.12,72,100,1.03,FM,1694971247
17,ushuaia,-54.8,-68.3,1.81,87,75,8.23,AR,1694971024
18,champerico,14.3,-91.9167,33.3,67,35,3.16,GT,1694971248
19,kingston,17.997,-76.7936,31.53,76,20,6.69,JM,1694971054
20,taiynsha,53.8478,69.7639,13.37,79,58,1.79,KZ,1694971248
21,haiku-pauwela,20.9219,-156.3051,25.02,83,40,6.17,US,1694971248
22,bria,6.5423,21.9863,20.69,98,100,2.37,CF,1694971249
23,college,64.8569,-147.8028,7.99,88,100,4.63,US,1694971101
24,adamstown,-25.066,-130.1015,19.0,64,99,5.27,PN,1694971249
25,fale old settlement,-9.3852,-171.2468,28.13,80,81,7.47,TK,1694971249
26,udachny,66.4167,112.4,-4.99,94,48,2.41,RU,1694971250
27,kaoma,-14.7833,24.8,26.76,11,1,3.05,ZM,1694971250
28,eyl,7.9803,49.8164,25.78,75,40,11.82,SO,1694971250
29,edinburgh of the seven seas,-37.0676,-12.3116,12.76,83,63,8.36,SH,1694971250
30,la passe,45.5549,-0.8967,22.13,88,100,3.87,FR,1694971251
31,harstad,68.799,16.5293,7.66,87,97,5.36,NO,1694971251
32,codrington,-38.2667,141.9667,10.83,96,100,2.6,AU,1694971251
33,limoeiro,-7.8747,-35.4503,29.43,52,77,7.4,BR,1694971251
34,lushun,38.8,121.2667,22.12,79,14,4.61,CN,1694971252
35,bousso,10.4795,16.7117,26.08,82,58,2.82,TD,1694971252
36,suining,30.508,105.5733,24.27,84,87,3.51,CN,1694971252
37,chonchi,-42.6128,-73.8092,10.07,66,28,2.05,CL,1694971146
38,waitangi,-43.9535,-176.5597,9.9,91,78,5.81,NZ,1694971253
39,miles city,46.4083,-105.8406,24.54,31,0,3.09,US,1694971253
40,bintulu,3.1667,113.0333,25.23,100,20,0.0,MY,1694971253
41,saipan,15.1355,145.701,27.39,89,20,2.57,MP,1694971253
42,san fernando de apure,7.8878,-67.4724,32.49,54,100,2.07,VE,1694971253
43,robinson,31.4677,-97.1147,30.32,58,0,4.12,US,1694971254
44,tiksi,71.6872,128.8694,-0.54,89,99,4.0,RU,1694971254
45,kedrovyy,56.1667,91.8167,6.23,92,11,0.79,RU,1694971254
46,qarazhal,48.0078,70.7903,17.06,45,100,4.43,KZ,1694971254
47,grytviken,-54.2811,-36.5092,-0.46,86,92,7.49,GS,1694971160
48,longyearbyen,78.2186,15.6401,-2.09,93,100,5.14,SJ,1694971255
49,big bend,-26.8167,31.9333,21.05,56,100,3.09,SZ,1694971255
50,bethel,41.3712,-73.414,24.79,51,0,3.09,US,1694971147
51,whitehorse,60.7161,-135.0538,10.43,63,75,5.66,CA,1694971255
52,azul,-36.777,-59.8585,16.93,34,100,4.83,AR,1694971256
53,oriximina,-1.7656,-55.8661,38.2,30,35,3.09,BR,1694971256
54,dwarka,22.2394,68.9678,27.75,83,100,6.96,IN,1694971256
55,chinde,26.8418,88.0763,19.53,83,11,2.31,NP,1694971257
56,hithadhoo,-0.6,73.0833,28.07,79,60,7.39,MV,1694971257
57,nicoya,10.1483,-85.452,29.41,71,79,0.96,CR,1694971257
58,springs,-26.25,28.4,20.18,33,4,2.94,ZA,1694971257
59,blackmans bay,-43.0167,147.3167,8.18,70,54,3.33,AU,1694971258
60,boda,4.3189,17.4695,21.21,96,93,1.71,CF,1694971258
61,ilulissat,69.2167,-51.1,2.01,80,75,2.57,GL,1694971258
62,novyy turtkul',41.55,61.0167,15.95,27,0,4.6,UZ,1694971259
63,bilibino,68.0546,166.4372,3.41,69,100,1.31,RU,1694971259
64,port elizabeth,-33.918,25.5701,14.62,67,0,5.14,ZA,1694971259
65,invercargill,-46.4,168.35,7.79,90,91,7.6,NZ,1694971259
66,gebeit,21.0667,36.3167,33.61,22,61,3.36,SD,1694971259
67,antalaha,-14.9003,50.2788,22.31,82,74,3.07,MG,1694971260
68,vilyuchinsk,52.9306,158.4028,9.15,85,29,4.94,RU,1694971260
69,jilma,35.2731,9.4239,34.0,22,3,7.12,TN,1694971260
70,puerto aysen,-45.4,-72.7,6.06,85,56,1.8,CL,1694971260
71,yellowknife,62.456,-114.3525,14.12,84,100,5.66,CA,1694971261
72,sitangkai,4.6628,119.3928,28.29,73,86,1.98,PH,1694971261
